Comment,Description,Designator,Footprint,LibRef,Quantity

"TSV992IDT","Operational Amplifiers Op Amps SOIC-8 2 Channel 20 MHz","1","SOIC8","TSV992IDT","1"
"33uH","DR125","B1","DR125","33uH","1"
"330nF","CERAMÝC 1206 SMD","C1","CAP 0603_1608","330nF","1"
"10uF","TANTAL","C2","TANTAL B-CASE","10uF","1"
"16pF","CERAMÝC 1206 SMD","C3, C4","CAP 0603_1608","16pF","2"
"100nF","CERAMÝC 1206 SMD","C5, C7, C13, C15, C21, C31","CAP 0603_1608","100nF","6"
"2.2uF","CERAMÝC 1206 SMD","C6, C9, C11, C12, C14, C17, C19, C20, C23","CAP 0603_1608","2.2uF","9"
"3.3nF","CERAMÝC 1206 SMD","C8, C10, C16, C18, C22","CAP 0603_1608","3.3nF","5"
"100uF","TANTAL","C24","TANTAL B-CASE","100uF","1"
"10nF","CERAMÝC 1206 SMD","C25","CAP 0603_1608","10nF","1"
"33pF","CERAMÝC 1206 SMD","C26","CAP 0603_1608","33pF","1"
"10pF","CERAMÝC 1206 SMD","C27","CAP 0603_1608","10pF","1"
"SMA","SMA Anten Connector","C28","132134-11 SMA ANTEN","Anten SMA  2","1"
"1uF","CERAMÝC 1206 SMD","C29, C36, C38","CAP 0603_1608","1uF","3"
"470uF_AL_1","Aluminium Electrolytic Capacitors","C30","10x12 Al Cap","470uF_AL_1","1"
"330uF_AL","Aluminium Electrolytic Capacitors","C32","10x12 Al Cap","330uF_AL","1"
"100uF_AL","Aluminium Electrolytic Capacitors","C33","10x12 Al Cap","100uF_AL","1"
"0.1uF","CERAMÝC 1206 SMD","C34, C37, C39","CAP 0603_1608","0.1uF","3"
"4.7uF","CERAMÝC 1206 SMD","C35","CAP 0603_1608","4.7uF","1"
"CONN4 MALE","4 PIN 2.54MM","CN1","CONN4 MALE","CONN4 MALE","1"
"1N4148WS","Diode, Single, 75 V, 150 mA, 1 V, 4 ns","D1, D2","SOD323F","1N4148WS","2"
"ZENER DIODE","SOD123","D3","SOD123","ZENER DIODE","1"
"0805 Green LED","","D4","0805 Green LED","0805 Green LED","1"
"Fuse 1808","FUSE BRD MNT 125VAC/VDC","F1","1808","FUSE","1"
"LM2596","Buck Converter","IC1","D2PAK","LM2596","1"
"JST2","2 PIN 2.54MM","J1","JST2","JST2","1"
"SIM","Memory Card Connectors Micro SIM Card Connector - Push-Push Type, 6 Pin, SMT, 1.50mm Profile","J2","GCT_SIM7100-6-1-15-00-A_REVC","SIM7100-6-1-15-00-A","1"
"TSV991A","Operational Amplifiers Op Amps SOT23-5 1 Channel 20 MHz","O1, O2, O3","SOT23-5","TSV991A","3"
"MMBT3904-7-F","Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23","Q1","SOT-23F","MMBT3904-7-F","1"
"10K","SMT RES 1206","R1, R2","RES 0603_1608","10K","2"
"50K","SMT RES 1206","R3, R7, R11","RES 0603_1608","50K","3"
"1M","SMT RES 1206","R4, R6, R8, R10, R12","RES 0603_1608","1M","5"
"56K","SMT RES 1206","R5, R9","RES 0603_1608","56K","2"
"330R","SMT RES 1206","R13","RES 0603_1608","330R","1"
"1K","SMT RES 1206","R14, R15, R18","RES 0603_1608","1K","3"
"5.6K","SMT RES 1206","R16","RES 0603_1608","5.6K","1"
"3.3K","SMT RES 1206","R17","RES 0603_1608","3.3K","1"
"470R","SMT RES 1206","R19","RES 0603_1608","470R","1"
"2.2K","SMT RES 1206","R20","RES 0603_1608","2.2K","1"
"GAS DETECTOR","GAS DETECTOR, ANALOG TO-39, GAS","S1, S3, S4","TO-39 CIRCLE","QGC Circle Sensor","3"
"GAS DETECTOR","GAS DETECTOR, ANALOG TO-39, GAS","S2","TO-39 DUAL","QGC Dual Sensor","1"
"LD29150DT33R","IC-29150 REG LDO 3V3 1.5A DPAK","U1","TO252-3 DPAK","LD29150","1"
"STM32F103","STM32F103C8T6 SMD LQFP-48 32-Bit 72 MHz Mikrodenetleyici","U2","LQFP48","STM32F103","1"
"SIM800C","GSM/Bluetooth","U3","LCC110P1570X1760X250-42N","SIM800C","1"
"OSCILLATOR","8MHZ 12.5pF","Y1","OSCILLATOR","OSCILLATOR","1"
